component,jtl_article_number
,Nicht im WAWI
 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-8GB,RAM-16GB-DDR4
 - DIMM DDR4 Synchronous 2667 MHz (0.4 ns)-16GB,RAM-16GB-DDR4
 - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4-SODIMM
 KINGSTON SNV3S1000G-SSD-nvme-1000GB,SSD-M2-1TB
 MSI M450 1TB-SSD-nvme-1000GB,SSD-M2-1TB
"""HMT41GU6MFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB",RAM-8GB-DDR4
10B60009US,Nicht im WAWI
10DU0015MH,Nicht im WAWI
11th Gen Intel(R) Core(TM) i7-11700F @ 2.50GHz,CPU-i7-11700F
11th Gen Intel(R) Core(TM) i9-11900F @ 2.50GHz,CPU-i9-11900F
11th Gen Intel(R) Core(TM) i9-11900KF @ 3.50GHz,JTL_ARTNR_CPU_11900KF
12th Gen Intel(R) Core(TM) i5-1235U,Nicht im WAWI
12th Gen Intel(R) Core(TM) i5-12400F,JTL_ARTNR_CPU_12400F
12th Gen Intel(R) Core(TM) i5-12450H,Nicht im WAWI
12th Gen Intel(R) Core(TM) i7-12700KF,JTL_ARTNR_CPU_12700KF
12th Gen Intel(R) Core(TM) i9-12900K,JTL_ARTNR_CPU_12900K
12th Gen Intel(R) Core(TM) i9-12900KF,JTL_ARTNR_CPU_12900KF
13th Gen Intel(R) Core(TM) i7-13700F,CPU-i7-13700F
1600DDAD3 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
1600DDBD3 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
1600DDBD3 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
16ATF1G64HZ-2G1A2 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
16ATF1G64HZ-2G1B1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,RAM-8GB-DDR4-SODIMM
16JTF1G64AZ-1G6E1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
16JTF51264AZ-1G6M1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-4GB,RAM-4GB-DDR3
16KTF1G64AZ-1G6P1 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
16KTF1G64AZ-1G9P1 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-8GB,RAM-8GB-DDR3
