component,customer_serial,predicted_jtl_article_number
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,03F2A63B2BAEFB,JTL_ARTNR_M2SATA_SSD_128GB
ATA SK hynix SC300 M.2 2280 256GB-SSD-sata-256GB,0B40F160FCE4D5,JTL_ARTNR_M2SATA_SSD_256GB
ATA CT1000BX500SSD1-SSD-ata-1000GB,1E901A4F8C338E,JTL_ARTNR_SSD_SATA_1TB
TSSTcorp TSSTcorpCD/DVDW TS-H653L-HDD-ata-1GB,1E901A4F8C338E,"JTL_ARTNR_ODD_5,25"
ACR16D3LU1MNG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,209ED0FFAC9CED,JTL_ARTNR_DDR3_DIMM_8GB
ASU16D3LU1KBG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,209ED0FFAC9CED,JTL_ARTNR_DDR3_DIMM_8GB
HP698651-154-KEB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,209ED0FFAC9CED,JTL_ARTNR_DDR3_DIMM_8GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,27B656E6E185B3,JTL_ARTNR_DDR4_SODIMM_4GB
16ATF1G64HZ-2G1B1 - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,2B8ED2BA1AD883,JTL_ARTNR_DDR4_SODIMM_8GB
ATA SAMSUNG SSD PM871b M.2 2280 128GB-SSD-sata-128GB,2E2D00F0DB3332,JTL_ARTNR_M2SATA_SSD_128GB
CASE_MSI_PZ_WHITE,3072EF9E8C25A1,JTL_ARTNR_PC_M93AMZ_32_1T_i7
PSU_OTHER,3072EF9E8C25A1,JTL_ARTNR_PC_M93AMZ_32_1T_i7
B650M PROJECT ZERO (MS-7E09),3072EF9E8C25A1,JTL_ARTNR_PC_800G3_16_512
AMD Ryzen 7 7800X3D 8-Core Processor,3072EF9E8C25A1,JTL_ARTNR_CPU_R75700X
KF556C40-32 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-32GB,3072EF9E8C25A1,JTL_ARTNR_DDR4_DIMM_16GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,34635C9B54023C,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,34635C9B54023C,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5143EB0-CPB - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,3471196C9CF681,JTL_ARTNR_DDR4_SODIMM_4GB
M471A5244CB0-CTD - SODIMM DDR4 Synchronous 2133 MHz (0.5 ns)-4GB,3471196C9CF681,JTL_ARTNR_DDR4_SODIMM_4GB
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,3471196C9CF681,JTL_ARTNR_M2SATA_SSD_128GB
ATA SanDisk X600 M.2 2280 SATA 128GB-SSD-sata-128GB,4775BAC55DA54D,JTL_ARTNR_M2SATA_SSD_128GB
ATA TOSHIBA THNSNK128GVN8 M.2 2280 128GB-SSD-sata-128GB,4B1569A1A771BB,JTL_ARTNR_M2SATA_SSD_128GB
CT8G4DFRA32A.M8FR - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-8GB,4C1254AF6FFABD,JTL_ARTNR_DDR4_DIMM_8GB
