component,jtl_article_number
ATA KINGSTON SA400S37960G-SSD-ata-960GB,SSD-1TB-2-5
ATA WDC WD10EURX-83UY4Y0-HDD-ata-1000GB,HDD-1TB-3-5
HL-DT-ST HL-DT-ST DVDRAM GHC0N-HDD-ata-1GB,DVD-Brenner
HMT41GU6DFR8A-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
CASE_OFFICE_GREED,GEH-LC-7038B-ON
COOLER_ORIGINAL,Nicht im WAWI
PSU_FUJITSU,Nicht im WAWI
D3221-A1,MAB-D3222-A12
Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,CPU-i7-4790
Intel HD 4600,Nicht im WAWI
WPK,LIZ-Windows-11-Pro
CASE_NON_CUSTOM,Nicht im WAWI
NON_CUSTOM_PSU,Nicht im WAWI
LNVNB161216,Nicht im WAWI
Intel(R) Celeron(R) N4500 @ 1.10GHz,Nicht im WAWI
CT16G4SFRA32A.C16FJ - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
Intel Integrated,Nicht im WAWI
KINGSTON SNV3S1000G-SSD-nvme-1000GB,SSD-M2-1TB
WLAN Modul intern,Nicht im WAWI
M378B1G73QH0-YKO - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA WDC WD10EURX-83UY4Y0-HDD-sata-1000GB,HDD-1TB-3-5
ATA CT1000BX500SSD1-SSD-sata-1000GB,SSD-1TB-2-5
HL-DT-ST HL-DT-ST DVD-ROM DH60N-HDD-sata-1GB,DVD-Brenner
CASE_GAMING_GREED,GEH-LC-703B-ON
COOLER_LGA_1700,KUE-I-1700
PSU_GAMING_700W,NET-750W-Gaming
H610M-H2/M.2,MAB-H610M
12th Gen Intel(R) Core(TM) i9-12900K,CPU-i9-12900K
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
NVIDIA GeForce RTX 4070,GRA-RTX4070
MSI M450 1TB-SSD-nvme-1000GB,SSD-M2-1TB
MK2ProIntel-12,PC-MK2-Pro-Intel
TSSTcorp TSSTcorp CDDVDW SH-224GB-HDD-sata-1GB,DVD-Brenner
Ultra,PC-Ultra
512GB PCIe SSD-SSD-nvme-512GB,SSD-512GB-M2
V15_G2_Multi_W,PC-V15-Multi
12th Gen Intel(R) Core(TM) i9-12900KF,CPU-i9-12900KF
ATA ESSENCORE SATA SSD-SSD-sata-256GB,SSD-240GB-2-5
TSSTcorp TSSTcorp CDDVDW SH-222BB-HDD-sata-1GB,DVD-Brenner
Multi,PC-Multi
V15_G2_Ultra_W,PC-V15-Ultra
12th Gen Intel(R) Core(TM) i7-12700KF,CPU-i7-12700KF
NVIDIA GeForce RTX 4060,GRA-RTX4060
MK2Intel_4060-12,PC-MK2-Intel
9905743-220.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
9905743-150.A00G - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
NVIDIA GeForce RTX 3060,GRA-RTX3060
hp hp DVD A DH16ACSHR-HDD-sata-1GB,DVD-Brenner
MSI M480 PRO 2TB-SSD-nvme-2000GB,SSD-M2-2TB
PC_3060_i9_2T_1THDD_W,Nicht im WAWI
PSU_OFFICE_500W,NET-500W-Office
NVIDIA GeForce GT 730,GRA-GT730
hp hp DVD-RAM SW820-HDD-sata-1GB,DVD-Brenner
UltraV2Intel-GT730-12,PC-Ultra-V2-Intel
TSSTcorp TSSTcorpDVD-ROM SH-116AB-HDD-sata-1GB,DVD-Brenner
COOLER_AM4,KUE-AM4
A520M-A PRO (MS-7C96),MAB-A520M
AMD Integrated,Nicht im WAWI
MK2BasicAMD,PC-MK2-Basic-AMD
