component,customer_serial
HMA81GU6MFR8N-UH - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-8GB,30A4FB33C6F497
HL-DT-ST HL-DT-ST DVDRAM GH24NSD0-HDD-ata-1GB,30D20DBA75D361
H510M H V2,31DBA7612EDF76
HB-Ultra,360AF06320E10E
16_24_PIN_ADAPTER,360AF06320E10E
STICKER_HYPERBYTE_GRAU,360AF06320E10E
CASE_OFFICE_HB,360AF06320E10E
COOLER_ORIGINAL,360AF06320E10E
PSU_OFFICE_500W,360AF06320E10E
D3162-A1,360AF06320E10E
Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz,360AF06320E10E
CT102464BA160B.C16 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,360AF06320E10E
Intel HD 4000,360AF06320E10E
ATA CT1000BX500SSD1-SSD-sata-1000GB,360AF06320E10E
DVD Laufwerk,360AF06320E10E
SATA Kabel,360AF06320E10E
HL-DT-ST HL-DT-ST DVDRAM GH24NSD0-HDD-ata-1GB,3C97E0AEE2BF94
M471A1K43CB1-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2133 MHz (0.5 ns)-8GB,3D7A4290A4E5B3
ATA KingFast-SSD-sata-512GB,3E6AC1921EB64D
HFS512GEJ9X125N-SSD-nvme-512GB,494FC00E07AF84
HFS512GEJ9X110N-SSD-nvme-512GB,49595FE0F4BF4C
MK2AMD_4060,4CF81CC131644C
COOLER_AM4,4CF81CC131644C
A520M-A PRO (MS-7C96),4CF81CC131644C
AMD Ryzen 7 5700X 8-Core Processor,4CF81CC131644C
M378A2G43CB3-CWE - DIMM DDR4 Synchronous Unbuffered (Unregistered) 3200 MHz (0.3 ns)-16GB,4CF81CC131644C
NVIDIA GeForce RTX 4060,4CF81CC131644C
KINGSTON SNV3S1000G-SSD-nvme-1000GB,4CF81CC131644C
KXG80ZNV512G KIOXIA-SSD-nvme-512GB,4D847B9B6AB89A
NVIDIA Corporation Device 2c05 (rev a1),508C3479FD6D06
B450M Pro4 R2.0,518B17B980628C
WD Blue SN580 1TB-SSD-nvme-1000GB,518B17B980628C
PBM_5080_Intel_MM,51F3B5F9DC6F8C
HFS512GEJ9X125N-SSD-nvme-512GB,527F57FAD14DEA
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous 2667 MHz (0.4 ns)-8GB,58945ED245496F
KINGSTON OM8PGP4512Q-AI-SSD-nvme-512GB,58945ED245496F
M73AMZ_16_512,59D71C3B1074CA
CASE_NON_CUSTOM,59D71C3B1074CA
COOLER_ORIGINAL,59D71C3B1074CA
NON_CUSTOM_PSU,59D71C3B1074CA
LENOVO_MT_10B4,59D71C3B1074CA
Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,59D71C3B1074CA
 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,59D71C3B1074CA
Intel HD 4600,59D71C3B1074CA
