component,customer_serial
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,03F2A63B2BAEFB
ATA SK hynix SC300 M.2 2280 256GB-SSD-sata-256GB,0B40F160FCE4D5
ATA CT1000BX500SSD1-SSD-ata-1000GB,1E901A4F8C338E
TSSTcorp TSSTcorpCD/DVDW TS-H653L-HDD-ata-1GB,1E901A4F8C338E
ACR16D3LU1MNG/8G - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,209ED0FFAC9CED
CASE_MSI_PZ_WHITE,3072EF9E8C25A1
PSU_OTHER,3072EF9E8C25A1
B650M PROJECT ZERO (MS-7E09),3072EF9E8C25A1
AMD Ryzen 7 7800X3D 8-Core Processor,3072EF9E8C25A1
KF556C40-32 - DIMM Synchronous Unbuffered (Unregistered) 4800 MHz (0.2 ns)-32GB,3072EF9E8C25A1
ATA SanDisk SD8SN8U-128G-1006-SSD-sata-128GB,3471196C9CF681
8ATF1G64AZ-2G3E1 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,34DA44A9B8F60F
ATA TOSHIBA THNSNK128GVN8 M.2 2280 128GB-SSD-sata-128GB,4B1569A1A771BB
INNO124308 - DIMM DDR4 Synchronous 2133 MHz (0.5 ns)-16GB,56711BE252B463
